PeriodIndex,PeakAmplitude
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,1.0812479566577926
38,1.098180199280119
39,1.0973877757138746
40,1.09659535214763
41,1.0958385876418664
42,1.0896735322964832
43,1.0865910046237914
44,1.0804259492784083
45,1.084705222988733
46,1.0958995122846824
47,1.0961587660838994
48,1.0964180198831166
49,1.0966772736823336
50,1.0969365274815508
51,1.097195781280768
52,1.097455035079985
53,1.0977142888792022
54,1.0979735426784192
55,1.0982327964776364
56,1.0984920502768534
57,1.0987513040760706
58,1.0786458980871354
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
