CycleIndex,StartIdx,EndIdx,AvgOriginal,AvgDrawn,AvgShift,PeakOriginal,RealShift
0,0,51,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
1,51,100,-0.6493821870311283,0.0,0.6493821870311283,-0.06277657399212623,0.7121587610232545
2,100,151,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
3,151,200,-0.6493821870311283,0.0,0.6493821870311283,-0.06277657399212623,0.7121587610232545
4,200,251,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
5,251,300,-0.6493821870311283,-0.22411234355028264,0.4252698434808456,-0.06277657399212623,0.48804641747297184
6,300,351,0.6239162189122606,0.7118825672345439,0.08796634832228334,1.0,-0.9120336516777167
7,351,400,-0.6493821870311283,-0.6373912322390076,0.011990954792120645,-0.06277657399212623,0.07476752878424688
8,400,451,0.6239162189122606,0.7164156961649728,0.09249947725271224,1.0,-0.9075005227472878
9,451,500,-0.6493821870311283,-0.6640834055353962,-0.014701218504267977,-0.06277657399212623,0.048075355487858254
10,500,551,0.6239162189122606,0.7287458068557392,0.10482958794347863,1.0,-0.8951704120565214
11,551,600,-0.6493821870311283,-0.658560019215757,-0.009177832184628754,-0.06277657399212623,0.05359874180749748
12,600,651,0.6239162189122606,0.746787659998846,0.12287144108658543,1.0,-0.8771285589134146
13,651,700,-0.6493821870311283,-0.4169590492775505,0.23242313775357776,-0.06277657399212623,0.295199711745704
14,700,751,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
15,751,800,-0.6493821870311283,0.0,0.6493821870311283,-0.06277657399212623,0.7121587610232545
16,800,851,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
17,851,900,-0.6493821870311283,0.0,0.6493821870311283,-0.06277657399212623,0.7121587610232545
18,900,951,0.6239162189122606,0.0,-0.6239162189122606,1.0,-1.6239162189122607
19,951,1000,-0.6493821870311283,0.0,0.6493821870311283,-0.06277657399212623,0.7121587610232545
